frame,v1_id,v1_class,v2_id,v2_class,conflict_world_x,conflict_world_y,conflict_px_x,conflict_px_y,aggressor_id,passive_id,angular_says,ttc_says,methods_agree,ttc1_sec,ttc2_sec
0,5,car,13,car,33.6032,25.6272,672.1,512.5,5,13,uncertain,v1,True,3.625,6.046
0,5,car,22,car,35.3331,27.3341,706.7,546.7,5,22,uncertain,v1,True,2.162,3.92
28,5,car,82,car,34.8149,26.6163,696.3,532.3,5,82,uncertain,v1,True,1.837,3.729
115,22,car,153,car,44.4636,25.5261,889.3,510.5,153,22,uncertain,v2,True,5.295,3.859
115,82,car,153,car,43.8928,24.6476,877.9,493.0,153,82,uncertain,v2,True,5.553,3.292
150,7,car,176,car,43.9684,34.76,879.4,695.2,7,176,uncertain,v1,True,1.605,4.087
243,157,car,277,car,31.7546,27.8491,635.1,557.0,157,277,uncertain,v1,True,0.89,3.12
272,153,car,306,motorcycle,48.8841,31.3308,977.7,626.6,306,153,uncertain,v2,True,3.803,1.311
315,346,motorcycle,358,car,41.7767,32.5189,835.5,650.4,346,358,v1,v1,True,2.964,4.395
326,176,car,344,car,37.0545,26.4462,741.1,528.9,176,344,uncertain,v1,True,2.204,4.656
362,176,car,405,car,37.433,26.9544,748.7,539.1,176,405,uncertain,v1,True,0.592,2.18
362,344,car,358,car,36.1556,27.1986,723.1,544.0,344,358,uncertain,v1,True,4.18,6.078
504,62,car,525,car,35.6748,21.7014,713.5,434.0,525,62,uncertain,v2,True,6.763,4.308
1212,973,car,1302,car,35.631,25.8762,712.6,517.5,1302,973,uncertain,v2,True,6.972,4.596
1291,1302,car,1397,car,38.1226,25.8395,762.5,516.8,1397,1302,uncertain,v2,True,4.472,3.233
1382,1397,car,1471,car,34.5502,20.014,691.0,400.3,1397,1471,uncertain,v1,True,5.002,6.987
2336,2190,car,2285,car,42.7505,25.3199,855.0,506.4,2285,2190,uncertain,v2,True,5.939,3.444
2343,2196,car,2216,car,34.855,24.5944,697.1,491.9,2216,2196,uncertain,v2,True,6.548,6.319
2429,2216,car,2232,car,33.292,22.8348,665.8,456.7,2232,2216,uncertain,v2,True,3.8,3.032
